 10.2.2.0 - 10.2.2.255 ( United Kingdom, London )
 10.3.1.0 - 10.3.1.255 ( Canada, Ontario, Toronto )
 10.4.0.0 - 10.4.0.255 ( Canada, Ontario, Toronto )
 10.4.16.0 - 10.4.16.255 ( Canada, Quebec, Mont-Royal )
 10.5.5.0 - 10.5.5.255 ( United States, Massachusetts, Boston )
 10.5.24.1 - 10.5.24.255 ( Canada, Ontario, GCC LAB )
 10.5.25.1 - 10.5.25.255 ( Canada, Ontario, GCC LAB )
 10.5.26.1 - 10.5.26.255 ( Canada, Ontario, GCC LAB )
 10.5.40.1 - 10.5.40.255 ( Canada, Ontario, GCC LAB )
 10.5.48.1 - 10.5.48.255 ( Canada, Ontario, GCC LAB )
 10.5.80.0 - 10.5.80.255 ( Canada, Ontario, Toronto )
 10.5.192.1 - 10.5.192.255 ( Canada, Ontario, GCC LAB )
 10.8.130.0 - 10.8.130.255 ( Canada, Ontario, Toronto )
 10.9.0.0 - 10.9.0.255 ( United States, New Jersey, Jersey City )
 10.9.1.0 - 10.9.1.255 ( United States, New Jersey, Jersey City )
 10.9.2.0 - 10.9.2.255 ( United States, New Jersey, Jersey City )
 10.9.3.0 - 10.9.3.255 ( United States, New Jersey, Jersey City )
 10.9.4.0 - 10.9.4.255 ( United States, New Jersey, Jersey City )
 10.9.5.0 - 10.9.5.255 ( United States, New Jersey, Jersey City )
 10.9.8.0 - 10.9.8.255 ( United States, California, San Francisco )
 10.9.96.0 - 10.9.96.255 ( United States, New Jersey, Jersey City )
 10.9.97.0 - 10.9.97.255 ( United States, New Jersey, Jersey City )
 10.9.98.0 - 10.9.98.255 ( United States, New Jersey, Jersey City )
 10.9.99.0 - 10.9.99.255 ( United States, New Jersey, Jersey City )
 10.9.100.0 - 10.9.100.255 ( United States, New Jersey, Jersey City )
 10.9.101.0 - 10.9.101.255 ( United States, New Jersey, Jersey City )
 10.9.102.0 - 10.9.102.255 ( United States, New Jersey, Jersey City )
 10.9.103.0 - 10.9.103.255 ( United States, New Jersey, Jersey City )
 10.9.104.0 - 10.9.104.255 ( United States, New Jersey, Jersey City )
 10.9.105.0 - 10.9.105.255 ( United States, New Jersey, Jersey City )
 10.9.106.0 - 10.9.106.255 ( United States, New Jersey, Jersey City )
 10.9.107.0 - 10.9.107.255 ( United States, New Jersey, Jersey City )
 10.9.108.0 - 10.9.108.255 ( United States, New Jersey, Jersey City )
 10.9.109.0 - 10.9.109.255 ( United States, New Jersey, Jersey City )
 10.9.110.0 - 10.9.110.255 ( United States, New Jersey, Jersey City )
